diameter_nm,n_particle,converged,I488,I405
124.93795250661591,1.3900055287189645,True,58121.5,12074.099609375
98.87589918118847,1.3900007555215275,True,31462.599609375,4108.7998046875
116.82803277378727,1.390003179337901,True,41332.80078125,8910.099609375
101.85131774580417,1.3900009565910127,True,27699.69921875,4724.0
95.20093562332406,1.3900004289225494,True,12464.900390625,3433.60009765625
106.66804285307396,1.3900014038031567,True,26665.80078125,5861.39990234375
103.63588180345883,1.3900008771665349,True,11285.900390625,5124.2998046875
112.33625512885136,1.3900026678037565,True,71772.296875,7446.0
105.95328230491415,1.3900015637592036,True,55347.80078125,5681.0
127.54958241390915,1.3900063501605597,True,59027.1015625,13247.900390625
